name,5,4,3,2,1,total
"2021 Newest Acer Aspire 5 15.6"" FHD Laptop 11th Intel Core i3-1115G4 (up to 4.1GHz) 12GB RAM 256GB NVMe SSD WiFi 6 USB-A&C Webcam HDMI Windows 10 S",85%,15%,0%,0%,0%,17
"2021 Newest HP 14"" HD Laptop Light-Weight AMD 3020e(Up to 2.6GHz) 16GB RAM 512GB SSD + 64GB eMMC 1 Year Office 365 WiFi Bluetooth 5 USB Type-A&C HDMI Webcam Win10 w/Ghost Manta Accessories",67%,15%,6%,2%,8%,426
"Acer Aspire 5 A515-46-R14K Slim Laptop | 15.6"" Full HD IPS | AMD Ryzen 3 3350U Quad-Core Mobile Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Backlit KB | Amazon Alexa | Windows 10 Home (S mode)",76%,15%,4%,1%,4%,"36,192"
HP 15-inch Laptop 11th Generation Intel Core i5-1135G7 Intel Iris Xe Graphics 8 GB RAM 256 GB SSD Windows 11 Home (15-dy2024nr Natural silver),74%,15%,5%,1%,5%,"1,494"
HP 14 Laptop AMD Ryzen 5 5500U 8 GB RAM 256 GB SSD Storage 14-inch Full HD Display Windows 10 Home Thin & Portable Micro-Edge & Anti-Glare Screen Long Battery Life (14-fq1021nr 2021),68%,20%,4%,2%,7%,332
"15.6"" S15 Full HD Windows 10 Professional Slim n Light Laptop - 128GB Storage 4GB RAM S15 Model Lapbook Dedicated Num-Pad Dual-Band WiFi Expandable Storage",54%,25%,7%,7%,8%,81
"Acer Predator Helios 300 PH315-54-760S Gaming Laptop | Intel i7-11800H | NVIDIA GeForce RTX 3060 Laptop GPU | 15.6"" Full HD 144Hz 3ms IPS Display | 16GB DDR4 | 512GB SSD | Killer WiFi 6 | RGB Keyboard",82%,10%,2%,1%,4%,"3,695"
2021 Newest HP 15.6 FHD IPS Flagship Laptop 11th Gen Intel 4-Core i5-1135G7(Up to 4.2GHz Beat i7-1060G7) 16GB RAM 256GB PCIe SSD Iris Xe Graphics Fingerprint WiFi Win10 Sw/GM Accessories,70%,25%,0%,0%,4%,31
ASUS Laptop L410 Ultra Thin Laptop 14” FHD Display Intel Celeron N4020 Processor 4GB RAM 128GB Storage NumberPad Windows 10 Home in S Mode 1 Year Microsoft 365 Star Black L410MA-DB04,69%,16%,8%,2%,4%,207
HP Pavilion 15 Laptop 11th Gen Intel Core i7-1165G7 Processor 16 GB RAM 512 GB SSD Storage Full HD IPS micro-edge Display Windows 10 Pro Compact Design Long Battery Life (15-eg0021nr 2020),77%,13%,4%,1%,5%,790
"2021 HP 15.6"" Thin Laptop Intel N4020 8GB RAM 128GB SSD Webcam 1-Year Office365 Wi-Fi Dual Core up to 2.8 GHz Windows 10 S FHD Display Google Classroom Zoom School Business Ready ROKC Bundle",74%,9%,8%,2%,8%,73
Lenovo Chromebook C330 2-in-1 Convertible Laptop 11.6-Inch HD (1366 x 768) IPS Display MediaTek MT8173C Processor 4GB LPDDR3 64 GB eMMC Chrome OS 81HY0000US Blizzard White,75%,13%,5%,2%,4%,"8,778"
"Acer Swift 3 Thin & Light Laptop | 14"" Full HD IPS 100% sRGB Display | AMD Ryzen 7 5700U Octa-Core Processor | 8GB LPDDR4X | 512GB NVMe SSD | WiFi 6 | Backlit KB | FPR | Amazon Alexa | SF314-43-R2YY",70%,22%,4%,0%,3%,79
2021 Newest Dell Inspiron 3000 Laptop 15.6 HD Display Intel Celeron Processor N4020 16GB DDR4 RAM 1TB Hard Disk Drive Online Meeting Ready Webcam WiFi HDMI Win10 Pro Black,70%,16%,6%,2%,6%,246
"2021 Newest Dell Inspiron 3510 15.6"" HD Laptop Intel Celeron N4020 Processor 8GB DDR4 RAM 1TB Hard Disk Drive Webcam WiFi HDMI Bluetooth Win10 Home Black",65%,13%,0%,0%,22%,10
"HP Pavilion Laptop (2021 Latest Model) 15.6"" FHD Display Intel Celeron Processor 16GB DDR4 RAM 512GB SSD Online Conferencing Webcam HDMI WiFi Bluetooth Windows 10",55%,19%,0%,8%,18%,17
HP Chromebook 11-inch Laptop - Up to 15 Hour Battery Life - MediaTek - MT8183 - 4 GB RAM - 32 GB eMMC Storage - 11.6-inch HD Display - with Chrome OS - (11a-na0021nr 2020 Model Snow White),72%,15%,6%,2%,5%,"1,561"
"2021 Newest Dell Inspiron 15 3000 3511 15.6"" (1920 x 1080) FHD Laptop 11th Gen Intel Core i3-1115G4 (Up to 4.1GHz Beat i5-1035G4) 16GB Memory 512GB PCIe SSD Webcam Bluetooth Black Windows 10",65%,20%,15%,0%,0%,16
"2021 Newest HP 15 15.6"" FHD Laptop Computer Intel Core i3 1115G4 up to 3.2GHz (Beat i5-8365U) 8GB DDR4 RAM 256GB PCIe SSD 802.11AC WiFi Bluetooth 4.2 Webcam Windows 10 S iPuzzle Type-C HUB",60%,23%,7%,0%,10%,44
"Samsung Chromebook 4 Chrome OS 11.6"" HD Intel Celeron Processor N4000 4GB RAM 32GB eMMC Gigabit Wi-Fi - XE310XBA-K01US (Renewed)",73%,14%,5%,3%,6%,908
