name,excellent,very_good,average,poor,terrible
The Westminster London Curio Collection by Hilton,36,11,9,2,3
Montcalm Royal London House - City of London,2226,265,75,29,14
The Resident Covent Garden,770,41,4,1,1
Leonardo Royal London Tower Bridge,1011,272,143,97,77
The Tower Hotel,4698,3794,1589,658,427
The Resident Victoria,1777,323,42,15,3
Hampton by Hilton London Waterloo,2032,1425,317,77,56
St. James Court A Taj Hotel London,3175,1370,439,176,109
Hard Rock Hotel London,652,136,118,69,102
Leonardo Royal London St. Paul's,309,102,53,69,58
The Clermont Charing Cross,4819,948,134,43,26
Park Plaza London Riverbank,2359,821,377,234,217
The Caesar Hotel,1181,1067,362,124,90
Park Grand London Kensington,3601,1147,210,55,49
H10 London Waterloo,2305,1325,295,87,71
Novotel London Canary Wharf,958,321,117,60,35
Tower Suites by Blue Orchid,147,32,30,14,21
The Belgrave,866,702,137,29,19
London Bridge Hotel,1940,931,182,46,32
Park Plaza Westminster Bridge London,13049,6088,1987,976,794
The W14 Kensington,719,768,205,74,108
Dorsett City London,401,184,66,44,34
The Bailey's Hotel London Kensington,1022,428,125,76,67
DoubleTree by Hilton Hotel London -Tower of London,3601,2598,748,243,220
Strand Palace,93,43,21,12,15
Copthorne Tara Hotel London Kensington,1917,3115,2016,746,496
K West Hotel & Spa,1781,1334,552,267,220
Assembly Hotel London,237,124,39,23,18
Rafayel on the Left Bank,1385,550,284,106,128
Merit Kensington Hotel,21,17,5,1,2
Millennium & Copthorne Hotels at Chelsea Football Club,928,1131,510,207,153
Travelodge London Central City Road,634,599,297,122,139
The Westminster London Curio Collection by Hilton,36,11,9,2,3
Royal Lancaster London,935,122,14,3,12
The Chesterfield Mayfair,3857,548,103,36,18
The Hoxton Southwark,305,44,17,5,8
Pullman London St Pancras Hotel,3523,1680,335,114,71
The Bloomsbury,3352,909,224,52,23
Hampton by Hilton London Waterloo,2032,1425,317,77,56
Pan Pacific London,72,3,0,0,0
Point A Hotel London Shoreditch,1002,585,142,52,26
St Martins Lane London,2177,818,225,86,47
The Mandeville Hotel,1375,915,297,92,65
Club Quarters Hotel Trafalgar Square,1717,1195,350,110,69
Hampton by Hilton London Waterloo,2032,1425,317,77,56
Thistle Trafalgar Square,1117,764,220,76,34
Ruby Lucy Hotel London,58,8,3,0,0
Zedwell Piccadilly,86,13,9,4,24
The Chelsea Harbour Hotel,1561,466,163,78,77
Hilton London Paddington,1704,2054,823,366,295
Thistle Holborn Hotel,1672,1027,212,86,35
The Grand at Trafalgar Square,957,723,261,77,54
Point A Hotel - London Paddington,1610,1430,379,111,69
Novotel London West,1466,2154,942,352,229
St Paul's Hotel,471,174,25,9,6
Camden Enterprise Hotel,244,105,21,4,2
Millennium Hotel London Knightsbridge,587,521,274,149,103
ibis London Canning Town Hotel,369,155,25,15,8
Hampton by Hilton London Docklands,323,251,77,17,25
Hilton London Hyde Park,352,303,135,61,39
Mama Shelter London - Shoreditch,90,19,14,3,6
Citadines Trafalgar Square London,1181,1192,343,128,80
Arosfa Hotel London by Compass Hospitality,1264,588,91,34,20
Church Street Hotel,273,177,40,21,11
The Westminster London Curio Collection by Hilton,36,11,9,2,3
Mondrian Shoreditch,14,2,1,0,0
Wilde Aparthotels by Staycity - Covent Garden,713,162,36,16,9
Jesmond Hotel,385,215,46,19,6
Holmes Hotel London,213,20,6,2,4
The Capital Hotel Apartments & Townhouse - London,1197,236,58,25,12
The Standard London,181,25,17,9,8
The Wesley Hotel,618,876,406,158,130
Premier Inn London Clapham hotel,472,192,48,19,21
