name,excellent,very_good,average,poor,terrible
The Moore,13,0,0,0,0
Arlo Midtown,200,13,3,1,3
Arlo NoMad,1348,324,101,40,23
Public,662,151,72,39,45
Artezen Hotel,275,31,3,1,1
Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South NY,2385,1078,236,74,59
Arthouse Hotel New York City,3802,2297,787,299,219
Hilton Garden Inn Times Square,4758,3107,654,186,166
Hotel Riu Plaza New York Times Square,2588,1523,379,159,161
Park Central Hotel New York,3190,2488,980,452,379
Stewart Hotel,3846,2214,980,496,415
Hyatt Place New York City/Times Square,162,93,46,35,43
Pod Times Square,651,401,134,30,68
Arthouse Hotel New York City,3802,2297,787,299,219
Pod 39 Hotel,1671,1835,489,97,83
New York Hilton Midtown,4200,4745,2687,1280,781
Millennium Hotel Broadway Times Square,2072,2481,1326,655,548
Pod 51 Hotel,1845,2638,763,221,186
Hampton Inn Manhattan-Times Square North,3528,2415,596,171,111
Radisson Hotel New York Midtown - Fifth Avenue,793,831,332,133,105
M Social Hotel Times Square New York,75,11,6,7,9
Warwick New York,2755,1702,466,168,131
Freehand New York,317,184,83,41,55
The Pearl Hotel,1987,614,94,16,12
DoubleTree by Hilton Hotel New York Times Square West,722,761,464,311,326
Row NYC Hotel,7344,8212,4949,2572,2516
Kixby,2574,1757,370,84,66
Aliz Hotel Times Square,292,162,81,55,49
The Manhattan at Times Square Hotel,4882,2605,1921,1047,1243
La Quinta Inn & Suites by Wyndham New York City Central Park,193,202,128,55,75
Madison LES Hotel,86,83,38,10,13
The Gallivant Times Square,672,988,724,346,427
The Moore,13,0,0,0,0
Hotel 50 Bowery,1472,264,83,35,25
Dylan Hotel NYC,496,427,206,120,94
citizenM New York Times Square,3642,1020,179,63,51
Lotte New York Palace,3718,1195,438,178,139
The Standard High Line,2789,965,477,225,218
Arthouse Hotel New York City,3802,2297,787,299,219
Hampton Inn Manhattan / Times Square Central,2038,890,203,78,45
Conrad New York Downtown,3166,878,209,94,56
1 Hotel Central Park,1647,281,82,39,33
LUMA Hotel Times Square,914,167,36,15,11
Innside New York NoMad,1919,882,262,113,80
YOTEL New York,6748,4724,1268,569,559
The Plaza New York,2032,549,277,178,127
Sofitel New York,4813,1993,497,175,113
Royalton Park Avenue,1955,678,249,138,111
Fitzpatrick Grand Central,1948,812,214,76,41
The Times Square EDITION,163,44,17,14,17
Hilton Garden Inn New York/Midtown Park Ave,818,535,153,56,50
Sanctuary Hotel New York,2926,1259,325,96,46
The Lucerne Hotel,1476,982,191,62,58
Fifty Hotel & Suites by Affinia,1178,742,256,84,75
Fitzpatrick Manhattan,1181,414,126,46,25
Millennium Hilton New York Downtown,2290,1971,856,379,263
The Westin New York Grand Central,2066,1883,665,270,229
Millennium Premier New York Times Square,644,365,145,63,65
Hotel on Rivington,988,492,197,107,87
Chelsea Inn - 17th Street,61,82,60,18,47
NoMo SoHo Hotel,965,472,267,111,100
Hilton New York Fashion District,1777,1471,505,168,114
Double Tree by Hilton Hotel Metropolitan New York City,1955,2333,1389,608,539
The Hotel at Times Square,1104,1939,727,195,175
The Moore,13,0,0,0,0
Moxy NYC Chelsea,480,79,28,17,8
The Kimberly Hotel,1826,620,140,61,32
Courtyard New York Manhattan / Midtown East,1407,1142,203,61,33
Mondrian Park Avenue,512,117,66,42,43
Washington Square Hotel,836,758,207,64,34
Kixby,2574,1757,370,84,66
The Benjamin,2033,865,317,118,76
The Jewel a Club Quarters Hotel,1881,873,213,62,56
Club Quarters Hotel New York City World Trade Center,1368,685,233,71,52
The Roxy Hotel New York,1342,222,56,21,14
Residence Inn New York Manhattan / Midtown East,1619,561,97,33,18
The Bryant Park Hotel,3518,728,142,46,33
Artel Hotel Times Square,53,44,33,15,47
Walker Hotel Greenwich Village,849,365,124,50,32
Courtyard New York Manhattan / Times Square West,714,527,117,26,34
City Club Hotel,450,341,111,61,55
Element New York Times Square West,1841,2089,703,340,279
Fairfield Inn New York Manhattan/Financial District,238,240,99,19,18
Hilton Garden Inn New York/Times Square Central,1199,737,293,100,113
The Hotel At Fifth Avenue,771,1415,526,167,210
Heritage Hotel New York City,231,458,273,91,68
Room Mate Grace,1098,536,139,36,29
