name,5,4,3,2,1,total
Fitniv Smart Watch 1.4 Inch Touch Screen Smartwatch with Heart Rate Monitor IP68 Waterproof Fitness Tracker Compatible with iPhone and Android Phones for Women Men,67%,15%,5%,5%,8%,164
Garmin Venu Sq GPS Smartwatch with Bright Touchscreen Display Up to 6 Days of Battery Life Slate Aluminum Bezel with Shadow Gray Case and Silicone Band,72%,14%,6%,4%,5%,3457
Fitbit Versa 2 Health and Fitness Smartwatch with Heart Rate Music Alexa Built-In Sleep and Swim Tracking Black/Carbon One Size (S and L Bands Included),79%,12%,4%,2%,4%,116599
SAMSUNG Galaxy Watch Active 2 (40mm GPS Bluetooth) Smart Watch with Advanced Health Monitoring Fitness Tracking and Long lasting Battery Silver (US Version),82%,11%,3%,1%,3%,45885
"Smart Watch ZOSKVEE Smartwatch for Android & iOS with Heart Rate Blood Oxygen Saturation 1.4"" Dynamic Watch Face IP68 Waterproof Fitness Tracker 30 Days Standby for Men Women",85%,6%,3%,2%,3%,159
"Smart Watch 1.7"" Smartwatch for Android and iOS Phones Fitness Tracker with with Full Touch Color Screen Heart Rate and Sleep Monitor Pedometer IP68 Waterproof Smart Watch for Women Men",67%,11%,10%,4%,8%,133
Smart Watch FirYawee Smartwatch for Android Phones and iOS PhonesFitness Tracker Waterproof IP68 with Heart Rate Monitor and Sleep MonitorStep and Distance CounterSmart Watch for Men Women,60%,17%,10%,4%,9%,3106
"Smart Watch 2021 Ver Watches for Women Fitness Tracker 1.69"" Touch Screen Smartwatch Fitness Watch Heart Rate Monitor IP68 Waterproof Pedometer Activity Tracker Sleep Monitor for Android iPhone Pink",54%,18%,11%,6%,11%,3560
Smart Watch，IDEALROYAL Smartwatch for Women Men IP67 Waterproof Fitness Tracker with Heart Rate Monitor and Sleep MonitorPedometer WatchActivity Tracker for Android and iOS Phones,58%,19%,7%,7%,9%,370
TouchElex Smart Watch for Android Phones and iOS Compatible iPhone Samsung Men Women HD Screen Oxygen Monitor Heart Rate Monitor IP68 Waterproof Smartwatch Fitness Tracker Fitness Watch,54%,18%,10%,5%,13%,140
Garmin Venu GPS Smartwatch with Bright Touchscreen Display Features Music Body Energy Monitoring Animated Workouts Pulse Ox Sensor and More Rose Gold with Tan Band,79%,12%,4%,2%,3%,4833
Smart Watch 1.69'' Smartwatch for Android Phones and IOS Phones Compatible with iPhone Samsung IP68 Waterproof Fitness Tracker with Heart Rate and Sleep Monitor Pedometer Smart Watches for Men Women,80%,10%,0%,6%,4%,88
Garmin 010-02064-00 Instinct Rugged Outdoor Watch with GPS Features Glonass and Galileo Heart Rate Monitoring and 3-Axis Compass Graphite,84%,9%,3%,1%,2%,25861
Smart Watch for Men Women Fitness Tracker 1.69'' Full Touch Screen Smartwatch with Heart Rate Monitor Sleep Monitor Stopwatch Pedometer IP68 Waterproof Activity Tracker Compatible for Android IOS,48%,23%,12%,4%,12%,293
Fitbit Sense Advanced Smartwatch with Tools for Heart Health Stress Management & Skin Temperature Trends White/Gold One Size (S & L Bands Included),72%,14%,5%,3%,6%,21425
Samsung Galaxy Active Smartwatch 40mm with Extra Charging Cable Rose Gold - SM-R500NZDCXAR (Renewed),73%,14%,2%,2%,8%,271
Smart Watch Fitness Tracker Men - CatShin Smartwatch with Heart Rate Blood Pressure Monitor Pedometer Sport Sleep Waterproof Bluetooth Touch Screen Compatible Android iOS Phone,25%,0%,75%,0%,0%,2
Smart Watch Popglory Smartwatch with Blood Pressure Blood Oxygen Monitor Fitness Tracker with Heart Rate Monitor Full Touch Fitness Watch for Android & iOS for Men Women,54%,17%,11%,6%,11%,9110
Smart Watch 2021(Call Receive/Dial) 1.72 in HD Full Touch Screen Smartwatch Fitness Tracker with Call/Text/Heart Rate (Gold Pink-01),63%,25%,6%,0%,6%,34
Amazfit Bip U Pro Smart Watch with Alexa Built-in for Men Women GPS Fitness Tracker with 60+ Sport Modes Blood Oxygen Heart Rate Sleep Monitor 5 ATM Waterproof for iPhone Android Phone (Black),58%,21%,9%,4%,8%,4792
Smart Watch for Women AGPTEK Smartwatch for Android and iOS Phones IP68 Waterproof Activity Tracker with Full Touch Color Screen Heart Rate Monitor Pedometer Sleep Monitor Pink LW11,61%,16%,10%,5%,8%,17731
Smart Watch Make/Answer Call Business Sport Smart Watch for Men Women Health and Fitness Tracker with Sleep Monitor Music Player App Message Reminder Waterproof Smart Watch for Android iOS Phones,45%,18%,15%,6%,16%,286
SAMSUNG Galaxy Watch Active (40MM GPS Bluetooth) Smart Watch with Fitness Tracking and Sleep Analysis - Rose Gold (US Version),79%,12%,4%,2%,4%,13422
Smart Watch 1.69'' Smartwatch for Android Phones and IOS Phones Compatible with iPhone Samsung IP68 Waterproof Fitness Tracker with Heart Rate and Sleep Monitor Pedometer Smart Watches for Men Women,80%,10%,0%,6%,4%,88
"Smart Watch ZOSKVEE Smartwatch for Android & iOS with Heart Rate Blood Oxygen Saturation 1.4"" Dynamic Watch Face IP68 Waterproof Fitness Tracker 30 Days Standby for Men Women",85%,6%,3%,2%,3%,159
