name,excellent,very_good,average,poor,terrible
Hotel Artemide,7002,1235,156,26,16
Albergo del Senato,3700,543,91,34,14
Varese Hotel,145,7,3,0,0
NH Collection Roma Fori Imperiali,131,10,3,2,2
Hotel Santa Maria,2919,590,58,16,12
NH Collection Roma Palazzo Cinquecento,884,326,89,22,14
A.Roma Lifestyle Hotel,3245,971,174,59,38
Doubletree by Hilton Rome Monti,64,13,2,0,1
Marcella Royal Hotel,1315,793,185,53,26
Terrace Pantheon Relais,163,45,8,6,6
Singer Palace Hotel,445,15,5,0,0
Hotel Colosseum,819,573,113,13,11
Hotel Savoy Roma,831,697,267,74,46
c-hotels Club House,117,52,10,3,5
Rome Times Hotel,1193,635,123,34,26
Hotel Damaso,398,66,4,0,3
Hotel Napoleon,1747,1024,232,51,28
The Liberty Boutique Hotel,276,37,7,0,1
UNAHOTELS Deco Roma,1936,1348,232,60,44
FH55 Grand Hotel Palatino,961,1093,382,150,80
Vatican Style,172,34,11,3,4
Fabulous Village,557,564,209,89,67
Hotel Nazionale,1507,626,87,25,19
Hotel Ponte Sisto,1148,776,154,50,33
Villa San Lorenzo Maria Hotel,704,386,115,38,26
The Hive Hotel,257,114,34,15,23
Hotel Hiberia Roma,502,594,188,52,38
NH Collection Roma Centro,648,867,455,169,111
Hotel Cecil,335,234,65,39,19
Hotel Pantheon Rome,517,307,82,25,33
The St. Regis Rome,1687,412,193,77,27
Hotel Stendhal,827,468,117,40,40
Hotel Indigo Rome - St. George an IHG hotel,1062,339,88,37,18
Gasometer Urban Suites,89,9,0,1,0
B&B Hotel Roma Tuscolana San Giovanni,461,602,217,56,24
c-hotels Fiume,469,473,76,28,12
Hotel Villa Pinciana,407,244,33,13,15
Hotel Grifo,728,473,127,56,32
Argentina Residenza,860,206,34,15,10
Hotel Raffaello - Sure Hotel Collection by Best Western,1788,918,163,42,20
Relais Le Clarisse in Trastevere,334,203,40,19,7
Radisson Blu GHR Hotel Rome,283,200,103,58,62
Rhea Silvia Luxury Navona,131,7,0,1,2
The Guardian,739,278,45,7,4
Hotel Degli Aranci,326,355,117,55,48
Floris Hotel,184,157,29,11,7
Warmthotel,187,226,65,24,17
Hotel Forum Roma,746,567,207,103,66
Mood 44,349,39,2,0,3
Hotel Navona,643,515,127,50,49
Hotel Condotti,853,456,127,39,33
Palazzo Scanderbeg,185,15,4,0,0
The Republic Hotel,131,67,9,2,6
Hotel Accademia,529,683,325,81,60
Navona Palace Luxury Inn,438,288,101,46,57
Eitch Borromini,201,28,15,13,10
Grand Hotel De La Minerve,730,453,214,95,66
Hotel Caravel,466,526,156,25,26
B&B Suite Beccaria,128,64,8,1,3
Hotel de Russie,1233,262,120,74,49
Yellow Square,1172,666,256,92,88
Colonna Suite Del Corso,136,40,12,2,7
Donna Camilla Savelli - VRetreats,926,391,90,48,39
Amalfi Hotel,695,440,86,20,4
Princeps Boutique Hotel,594,112,11,4,1
Bio Hotel Raphael - Relais Chateaux,1041,378,165,72,62
Hotel Abruzzi,888,321,68,27,10
Mercure Roma Piazza Bologna,695,1303,384,56,40
Hotel Montecarlo,423,674,169,38,32
The First Roma Dolce,81,2,0,0,1
Hotel Alexandra,778,709,198,53,44
Hotel Centro Cavour,274,147,30,9,1
Marcantonio Hotel,115,116,61,9,8
Hotel Nord Nuova Roma,420,736,332,75,41
Palazzo Dama Hotel,191,73,40,18,30
Le Meridien Visconti Rome,1129,1166,324,98,52
Hotel Leone,69,51,14,5,0
Starhotels Michelangelo,678,585,142,40,40
The Britannia Hotel,837,445,95,38,30
Hotel Le Clarisse al Pantheon,308,311,74,25,18
Hotel California,379,496,212,71,43
Hotel Forte,327,388,82,31,31
Aventino Guest House,67,40,8,1,1
Relais Monti,152,81,18,6,11
Villa Spalletti Trivelli,530,28,7,8,1
Hotel Twenty One,686,803,264,70,58
Best Western Globus Hotel,472,826,297,74,34
Grand Hotel Tiberio,342,498,229,62,51
Trevi Palace Luxury Inn,271,168,60,35,39
Hotel Victoria,403,469,126,56,25
Hotel Canada BW Premier Collection,1654,760,118,20,11
Hotel Barrett,806,229,24,12,9
QuodLibet,1604,38,5,0,0
Hotel Scalinata di Spagna,455,199,22,10,18
Domus Liberius,1078,390,47,14,15
Residenza Cellini,898,184,30,7,4
Boma Countryhouse,157,42,5,6,4
Trianon Borgo Pio Residence,687,254,49,7,6
Hotel Locarno,144,22,3,1,0
The First Roma Arte,827,164,45,11,11
The Beehive,740,254,49,5,12
Fragrance Hotel St.Peter,412,249,52,13,8
Kolbe Hotel Rome,1191,696,215,56,37
Hotel Palazzo Manfredi - Small Luxury Hotels of the World,479,98,24,15,17
Torre Argentina Relais,290,68,18,4,20
Hotel Mascagni,593,402,111,38,27
Hotel Modigliani,868,492,104,40,20
Hotel Artorius,449,167,25,7,8
Residenza Ave Roma,277,114,18,5,14
Crossing Condotti,384,44,2,0,0
Hotel Manfredi Suite in Rome,1137,341,62,7,2
Baglioni Hotel Regina,690,259,98,37,29
Deseo Home,321,194,23,3,3
Hotel Columbia,619,336,73,16,7
Comics guesthouse,243,139,34,11,6
Luxury on the River,145,83,21,11,5
PapavistaRelais,351,87,15,0,1
Villa Glori Hotel,335,430,127,37,28
Hotel Gregoriana,111,53,12,5,0
Hotel Delle Nazioni,548,663,187,57,36
Portrait Roma,859,47,7,1,1
Lifestyle Suites Rome,386,24,4,1,1
Home in Rome Trevi,88,7,1,0,1
1880 Atypical Rooms,401,98,3,2,0
Aleph Rome Hotel Curio Collection by Hilton,450,63,17,17,13
Locanda del Sole Luxury Suite Rome,272,12,2,0,1
Hotel Stendhal Luxury Suites,239,73,18,5,2
Hotel Lancelot,1547,496,85,15,5
Babuino 181,908,208,41,14,3
Inn Urbe Colosseo B&B,263,29,1,1,1
Domus Helena - Casa per Ferie,179,51,3,0,2
Relais Forus Inn,560,252,31,10,7
The Inn At The Roman Forum,1659,227,54,23,14
Sofitel Roma Villa Borghese Hotel,1691,644,190,61,34
