url,name,5,4,3,2,1,total
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0600457269W84WJ82WMG&url=%2FLenovo-Ideapad-Non-Touch-Processor-Mousepad%2Fdp%2FB07MLQJZZL%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dlaptop%26qid%3D1638026255%26sr%3D8-1-spons%26psc%3D1%26smid%3DA3QR4864ATM9Z9&qualifier=1638026255&id=8535637135162003&widgetName=sp_atf#customerReviews,Lenovo 2021 Newest Ideapad 3 Laptop 15.6 Full HD 1080P Non-Touch Display AMD Ryzen 3 3250U Processor 8GB DDR4 RAM 256GB PCIe NVMe SSD Webcam Wi-Fi HDMI Windows 10 Home KKE Mousepad Grey,71%,18%,5%,3%,2%,302
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0642028278Y7A9RORE2Q&url=%2FHP-Office365-Windows-Classroom-Business%2Fdp%2FB099Y2R1VL%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dlaptop%26qid%3D1638026255%26sr%3D8-2-spons%26psc%3D1&qualifier=1638026255&id=8535637135162003&widgetName=sp_atf#customerReviews,"2021 HP 15.6"" Thin Laptop Intel N4020 8GB RAM 128GB SSD Webcam 1-Year Office365 Wi-Fi Dual Core up to 2.8 GHz Windows 10 S FHD Display Google Classroom Zoom School Business Ready ROKC Bundle",72%,10%,8%,2%,8%,84
https://www.amazon.com/Samsung-Chromebook-Celeron-Processor-Gigabit/dp/B07XL4JHXR/ref=sr_1_3?keywords=laptop&qid=1638026255&sr=8-3#customerReviews,SAMSUNG Galaxy Chromebook 4 11.6-inch 64GB eMMC 4GB RAM Gigabit Wi-Fi Chrome OS HD Intel Celeron Processor N4000,71%,16%,6%,3%,5%,4025
https://www.amazon.com/Razer-Blade-Advanced-Gaming-Laptop/dp/B086M84ZC9/ref=sr_1_4?keywords=laptop&qid=1638026255&sr=8-4#customerReviews,Razer Blade 15 Advanced Gaming Laptop 2020: Intel Core i7-10875H 8-Core NVIDIA GeForce RTX 2080 SUPER Max-Q 15.6” 4K OLED Touch 16GB RAM 1TB SSD CNC Aluminum Chroma Thunderbolt 3 Creator Ready,73%,12%,3%,0%,12%,74
https://www.amazon.com/Lenovo-Chromebook-Processor-Graphics-82BA0003US/dp/B087YW8FQB/ref=sxin_12_sbv_search_btf?cv_ct_cx=laptop&keywords=laptop&pd_rd_i=B087YW8FQB&pd_rd_r=4c0b2235-cdd4-4cde-9668-9fd59ef181bc&pd_rd_w=gn6Su&pd_rd_wg=Jrs8L&pf_rd_p=7ea8e9d0-fed1-49e8-a002-f2d3f5cb151d&pf_rd_r=DPDE0BWDRXWH3AVMGV8E&qid=1638026255&sr=1-1-3bd9c54c-7923-453d-a901-9ecab850af93#customerReviews,"Lenovo IdeaPad 3 11 Chromebook 11.6"" Laptop 11.6"" HD (1366 x 768) Display Intel Celeron N4020 Processor 4GB LPDDR4 RAM 64GB eMMC Storage Intel UHD Graphics 600 Chrome OS 82BA0003US Onyx Black",68%,16%,6%,2%,7%,507
https://www.amazon.com/Lenovo-Processor-Graphics-81W10094US-Business/dp/B0872K4XCJ/ref=sxin_14?asc_contentid=amzn1.osa.2e601469-2dac-4c48-9f0e-f14095e71de3.ATVPDKIKX0DER.en_US&asc_contenttype=article&ascsubtag=amzn1.osa.2e601469-2dac-4c48-9f0e-f14095e71de3.ATVPDKIKX0DER.en_US&creativeASIN=B0872K4XCJ&cv_ct_cx=laptop&cv_ct_id=amzn1.osa.2e601469-2dac-4c48-9f0e-f14095e71de3.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=laptop&linkCode=oas&pd_rd_i=B0872K4XCJ&pd_rd_r=4c0b2235-cdd4-4cde-9668-9fd59ef181bc&pd_rd_w=PeWyy&pd_rd_wg=Jrs8L&pf_rd_p=b029c82c-aced-48fe-b955-08794dc4e3cd&pf_rd_r=DPDE0BWDRXWH3AVMGV8E&qid=1638026255&sr=1-1-a3cc9a7a-2f07-46dc-8259-ac02200376a0&tag=gadgetreview-tca-20#customerReviews,"Lenovo IdeaPad 3 15"" Laptop 15.6"" HD (1366 x 768) Display AMD Ryzen 3 3250U Processor 4GB DDR4 Onboard RAM 128GB SSD AMD Radeon Vega 3 Graphics Windows 10 81W10094US Business Black",73%,16%,5%,2%,4%,1541
https://www.amazon.com/ASUS-Processor-NumberPad-Microsoft-L210MA-DB01/dp/B081V6W99V/ref=sxin_14?asc_contentid=amzn1.osa.2e601469-2dac-4c48-9f0e-f14095e71de3.ATVPDKIKX0DER.en_US&asc_contenttype=article&ascsubtag=amzn1.osa.2e601469-2dac-4c48-9f0e-f14095e71de3.ATVPDKIKX0DER.en_US&creativeASIN=B081V6W99V&cv_ct_cx=laptop&cv_ct_id=amzn1.osa.2e601469-2dac-4c48-9f0e-f14095e71de3.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=laptop&linkCode=oas&pd_rd_i=B081V6W99V&pd_rd_r=4c0b2235-cdd4-4cde-9668-9fd59ef181bc&pd_rd_w=PeWyy&pd_rd_wg=Jrs8L&pf_rd_p=b029c82c-aced-48fe-b955-08794dc4e3cd&pf_rd_r=DPDE0BWDRXWH3AVMGV8E&qid=1638026255&sr=1-2-a3cc9a7a-2f07-46dc-8259-ac02200376a0&tag=gadgetreview-tca-20#customerReviews,ASUS Laptop L210 Ultra Thin Laptop 11.6” HD Display Intel Celeron N4020 Processor 4GB RAM 64GB Storage NumberPad Windows 10 Home in S Mode with One Year of Microsoft 365 Personal L210MA-DB01,65%,18%,7%,3%,6%,5879
https://www.amazon.com/Acer-Display-Graphics-Keyboard-A515-43-R19L/dp/B07RF1XD36/ref=sxin_14?asc_contentid=amzn1.osa.2e601469-2dac-4c48-9f0e-f14095e71de3.ATVPDKIKX0DER.en_US&asc_contenttype=article&ascsubtag=amzn1.osa.2e601469-2dac-4c48-9f0e-f14095e71de3.ATVPDKIKX0DER.en_US&creativeASIN=B07RF1XD36&cv_ct_cx=laptop&cv_ct_id=amzn1.osa.2e601469-2dac-4c48-9f0e-f14095e71de3.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=laptop&linkCode=oas&pd_rd_i=B07RF1XD36&pd_rd_r=4c0b2235-cdd4-4cde-9668-9fd59ef181bc&pd_rd_w=PeWyy&pd_rd_wg=Jrs8L&pf_rd_p=b029c82c-aced-48fe-b955-08794dc4e3cd&pf_rd_r=DPDE0BWDRXWH3AVMGV8E&qid=1638026255&sr=1-3-a3cc9a7a-2f07-46dc-8259-ac02200376a0&tag=gadgetreview-tca-20#customerReviews,Acer Aspire 5 Slim Laptop 15.6 inches Full HD IPS Display AMD Ryzen 3 3200U Vega 3 Graphics 4GB DDR4 128GB SSD Backlit Keyboard Windows 10 in S Mode A515-43-R19L Silver,76%,15%,4%,1%,4%,36146
https://www.amazon.com/HP-14-cb186nr-Brilliant-9MV74UA-ABA/dp/B084SMMH96/ref=sxin_14?asc_contentid=amzn1.osa.2e601469-2dac-4c48-9f0e-f14095e71de3.ATVPDKIKX0DER.en_US&asc_contenttype=article&ascsubtag=amzn1.osa.2e601469-2dac-4c48-9f0e-f14095e71de3.ATVPDKIKX0DER.en_US&creativeASIN=B084SMMH96&cv_ct_cx=laptop&cv_ct_id=amzn1.osa.2e601469-2dac-4c48-9f0e-f14095e71de3.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=laptop&linkCode=oas&pd_rd_i=B084SMMH96&pd_rd_r=4c0b2235-cdd4-4cde-9668-9fd59ef181bc&pd_rd_w=PeWyy&pd_rd_wg=Jrs8L&pf_rd_p=b029c82c-aced-48fe-b955-08794dc4e3cd&pf_rd_r=DPDE0BWDRXWH3AVMGV8E&qid=1638026255&sr=1-4-a3cc9a7a-2f07-46dc-8259-ac02200376a0&tag=gadgetreview-tca-20#customerReviews,HP Stream 14-inch Laptop Intel Celeron N4000 4 GB RAM 64 GB eMMC Windows 10 Home in S Mode with Office 365 Personal for 1 Year (14-cb186nr Brilliant Black) (9MV74UA#ABA),74%,14%,6%,2%,4%,4803
https://www.amazon.com/Dell-Inspiron-LED-Backlit-Processor-Bluetooth/dp/B08X1D9WWJ/ref=sxin_14?asc_contentid=amzn1.osa.2e601469-2dac-4c48-9f0e-f14095e71de3.ATVPDKIKX0DER.en_US&asc_contenttype=article&ascsubtag=amzn1.osa.2e601469-2dac-4c48-9f0e-f14095e71de3.ATVPDKIKX0DER.en_US&creativeASIN=B08X1D9WWJ&cv_ct_cx=laptop&cv_ct_id=amzn1.osa.2e601469-2dac-4c48-9f0e-f14095e71de3.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=laptop&linkCode=oas&pd_rd_i=B08X1D9WWJ&pd_rd_r=4c0b2235-cdd4-4cde-9668-9fd59ef181bc&pd_rd_w=PeWyy&pd_rd_wg=Jrs8L&pf_rd_p=b029c82c-aced-48fe-b955-08794dc4e3cd&pf_rd_r=DPDE0BWDRXWH3AVMGV8E&qid=1638026255&sr=1-5-a3cc9a7a-2f07-46dc-8259-ac02200376a0&tag=gadgetreview-tca-20#customerReviews,2021 Newest Dell Inspiron 3000 Laptop 15.6 HD LED-Backlit Display Intel Celeron Processor N4020 8GB DDR4 RAM 128GB PCIe SSD Online Meeting Ready Webcam WiFi HDMI Bluetooth Win10 Home Black,69%,20%,4%,2%,4%,282
https://www.amazon.com/Samsung-Chromebook-Plus-Camera-Chrome/dp/B07J1SY5QQ/ref=sr_1_5?keywords=laptop&qid=1638026255&sr=8-5#customerReviews,"Samsung Chromebook Plus V2 2-in-1 4GB RAM 32GB eMMC 13MP Camera Chrome OS 12.2"" 16:10 Aspect Ratio Light Titan (XE520QAB-K01US)",71%,16%,5%,3%,5%,4098
https://www.amazon.com/Lenovo-Chromebook-11-6-Inch-Processor-82HG0006US/dp/B08T6N424Z/ref=sr_1_6?keywords=laptop&qid=1638026255&sr=8-6#customerReviews,"Lenovo Chromebook Flex 3 11"" Laptop 11.6-Inch HD (1366 x 768) IPS Display MediaTek MT8173C Processor 4GB LPDDR3 64 GB eMMC Chrome OS 82HG0006US Blizzard White",61%,13%,6%,3%,16%,725
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A079341831BNHM8Q5SYYI&url=%2FHP-EliteBook-i5-6300U-Certified-Refurbished%2Fdp%2FB07GCR9HWB%2Fref%3Dsr_1_7_sspa%3Fkeywords%3Dlaptop%26qid%3D1638026255%26sr%3D8-7-spons%26psc%3D1&qualifier=1638026255&id=8535637135162003&widgetName=sp_mtf#customerReviews,HP EliteBook 840 G3 14in Laptop Core i5-6300U 2.4GHz 8GB Ram 240GB SSD Windows 10 Pro 64bit (Renewed),56%,10%,8%,9%,17%,38
