url,name,5,4,3,2,1,total
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08946963VWQNV0WBQ9K1&url=%2FGarmin-010-02427-00-Smartwatch-Touchscreen-Display%2Fdp%2FB08FRQ57JG%2Fref%3Dsr_1_2_sspa%3Fcrid%3D10EYU49Y1MORK%26keywords%3Dsmartwatch%26qid%3D1638030662%26sprefix%3Dsmartwa%252Caps%252C318%26sr%3D8-2-spons%26psc%3D1&qualifier=1638030662&id=6341670478922992&widgetName=sp_atf#customerReviews,Garmin Venu Sq GPS Smartwatch with Bright Touchscreen Display Up to 6 Days of Battery Life Slate Aluminum Bezel with Shadow Gray Case and Silicone Band,72%,14%,6%,4%,4%,3596
https://www.amazon.com/Garmin-v%C3%ADvoactive-Smartwatch-Features-Monitoring/dp/B07W6RWL2R/ref=sr_1_3?crid=10EYU49Y1MORK&keywords=smartwatch&qid=1638030662&qsid=144-6184532-5584651&sprefix=smartwa%2Caps%2C318&sr=8-3&sres=B07W6RWL2R%2CB07TWFVDWT%2CB08FRQ57JG%2CB09D9D6FF7%2CB08DFLG5SP%2CB07W6V2RNK%2CB096BJLZZM%2CB096BKVWZZ%2CB08HMRY8NG%2CB09B2XG2RT%2CB097SSFRTM%2CB082VZZHK4%2CB074KBWL9J%2CB09CKLQP4K%2CB09G62P2LG%2CB0991ZHK6P&srpt=WEARABLE_COMPUTER#customerReviews,Garmin 010-02174-01 Vivoactive 4 GPS Smartwatch Features Music Body Energy Monitoring Animated Workouts Pulse Ox Sensors and More Silver with Gray Band,77%,13%,4%,2%,4%,9365
https://www.amazon.com/Fitbit-Fitness-Smartwatch-Tracking-Included/dp/B07TWFVDWT/ref=sr_1_4?crid=10EYU49Y1MORK&keywords=smartwatch&qid=1638030662&qsid=144-6184532-5584651&sprefix=smartwa%2Caps%2C318&sr=8-4&sres=B07W6RWL2R%2CB07TWFVDWT%2CB08FRQ57JG%2CB09D9D6FF7%2CB08DFLG5SP%2CB07W6V2RNK%2CB096BJLZZM%2CB096BKVWZZ%2CB08HMRY8NG%2CB09B2XG2RT%2CB097SSFRTM%2CB082VZZHK4%2CB074KBWL9J%2CB09CKLQP4K%2CB09G62P2LG%2CB0991ZHK6P&srpt=WEARABLE_COMPUTER#customerReviews,Fitbit Versa 2 Health and Fitness Smartwatch with Heart Rate Music Alexa Built-In Sleep and Swim Tracking Black/Carbon One Size (S and L Bands Included),79%,12%,4%,2%,4%,117134
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_search_thematic_aps_sr_pg1_2?ie=UTF8&adId=A02137861MXOR0DXUXB9N&url=%2FFossil-Womens-Stainless-Steel-Touchscreen%2Fdp%2FB08FWRPDZY%2Fref%3Dsxin_12_pa_sp_search_thematic_sspa%3Fcrid%3D10EYU49Y1MORK%26cv_ct_cx%3Dsmartwatch%26keywords%3Dsmartwatch%26pd_rd_i%3DB08FWRPDZY%26pd_rd_r%3D2be12c54-e8f5-49f2-9a57-6ea5fd6489b4%26pd_rd_w%3D9EyIh%26pd_rd_wg%3DXro9C%26pf_rd_p%3Dfb401969-1dca-4736-bb17-fd1d356224ef%26pf_rd_r%3DP9J27BNQRAM5NDG7Z29W%26qid%3D1638030662%26sprefix%3Dsmartwa%252Caps%252C318%26sr%3D1-1-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons%26psc%3D1&qualifier=1638030662&id=3575411258699715&widgetName=sp_search_thematic#customerReviews,Fossil Women's Gen 5E 42mm Stainless Steel Touchscreen Smartwatch with Speaker Heart Rate Contactless Payments and Smartphone Notifications,70%,13%,7%,4%,6%,3094
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_search_thematic_aps_sr_pg1_3?ie=UTF8&adId=A08860968Y1U51AJ6EAM&url=%2FFossil-Unisex-Stainless-Silicone-Touchscreen%2Fdp%2FB08FX4382S%2Fref%3Dsxin_12_pa_sp_search_thematic_sspa%3Fcrid%3D10EYU49Y1MORK%26cv_ct_cx%3Dsmartwatch%26keywords%3Dsmartwatch%26pd_rd_i%3DB08FX4382S%26pd_rd_r%3D2be12c54-e8f5-49f2-9a57-6ea5fd6489b4%26pd_rd_w%3D9EyIh%26pd_rd_wg%3DXro9C%26pf_rd_p%3Dfb401969-1dca-4736-bb17-fd1d356224ef%26pf_rd_r%3DP9J27BNQRAM5NDG7Z29W%26qid%3D1638030662%26sprefix%3Dsmartwa%252Caps%252C318%26sr%3D1-2-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons%26psc%3D1&qualifier=1638030662&id=3575411258699715&widgetName=sp_search_thematic#customerReviews,Fossil Men's Gen 5E 44mm Stainless Steel Touchscreen Smartwatch with Speaker Heart Rate Contactless Payments and Smartphone Notifications,68%,17%,6%,3%,5%,3334
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_search_thematic_aps_sr_pg1_4?ie=UTF8&adId=A08946963VWQNV0WBQ9K1&url=%2FGarmin-010-02427-00-Smartwatch-Touchscreen-Display%2Fdp%2FB08FRQ57JG%2Fref%3Dsxin_12_pa_sp_search_thematic_sspa%3Fcrid%3D10EYU49Y1MORK%26cv_ct_cx%3Dsmartwatch%26keywords%3Dsmartwatch%26pd_rd_i%3DB08FRQ57JG%26pd_rd_r%3D2be12c54-e8f5-49f2-9a57-6ea5fd6489b4%26pd_rd_w%3D9EyIh%26pd_rd_wg%3DXro9C%26pf_rd_p%3Dfb401969-1dca-4736-bb17-fd1d356224ef%26pf_rd_r%3DP9J27BNQRAM5NDG7Z29W%26qid%3D1638030662%26sprefix%3Dsmartwa%252Caps%252C318%26sr%3D1-3-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons%26psc%3D1&qualifier=1638030662&id=3575411258699715&widgetName=sp_search_thematic#customerReviews,Garmin Venu Sq GPS Smartwatch with Bright Touchscreen Display Up to 6 Days of Battery Life Slate Aluminum Bezel with Shadow Gray Case and Silicone Band,72%,14%,6%,4%,4%,3596
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_search_thematic_aps_sr_pg1_5?ie=UTF8&adId=A0071013FIFHK0XTQVKI&url=%2FFossil-Collider-Stainless-Leather-Smartwatch%2Fdp%2FB07SY4V5QQ%2Fref%3Dsxin_12_pa_sp_search_thematic_sspa%3Fcrid%3D10EYU49Y1MORK%26cv_ct_cx%3Dsmartwatch%26keywords%3Dsmartwatch%26pd_rd_i%3DB07SY4V5QQ%26pd_rd_r%3D2be12c54-e8f5-49f2-9a57-6ea5fd6489b4%26pd_rd_w%3D9EyIh%26pd_rd_wg%3DXro9C%26pf_rd_p%3Dfb401969-1dca-4736-bb17-fd1d356224ef%26pf_rd_r%3DP9J27BNQRAM5NDG7Z29W%26qid%3D1638030662%26sprefix%3Dsmartwa%252Caps%252C318%26sr%3D1-4-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons%26psc%3D1&qualifier=1638030662&id=3575411258699715&widgetName=sp_search_thematic#customerReviews,Fossil Men's Collider Hybrid Smartwatch HR with Always-On Readout Display Heart Rate Activity Tracking Smartphone Notifications Message Previews,70%,16%,6%,3%,5%,1894
https://www.amazon.com/Fitbit-Fitness-Smartwatch-Battery-Included/dp/B08DFPV5Y2/ref=sxin_13_sbv_search_btf?crid=10EYU49Y1MORK&cv_ct_cx=smartwatch&keywords=smartwatch&pd_rd_i=B08DFPV5Y2&pd_rd_r=2be12c54-e8f5-49f2-9a57-6ea5fd6489b4&pd_rd_w=5gRHH&pd_rd_wg=Xro9C&pf_rd_p=7ea8e9d0-fed1-49e8-a002-f2d3f5cb151d&pf_rd_r=P9J27BNQRAM5NDG7Z29W&qid=1638030662&sprefix=smartwa%2Caps%2C318&sr=1-1-3bd9c54c-7923-453d-a901-9ecab850af93#customerReviews,Fitbit Versa 3 Health & Fitness Smartwatch with GPS 24/7 Heart Rate Alexa Built-in 6+ Days Battery Black/Black One Size (S & L Bands Included),76%,13%,4%,2%,4%,24149
https://www.amazon.com/Garmin-010-02427-00-Smartwatch-Touchscreen-Display/dp/B08FRQ57JG/ref=sr_1_5?crid=10EYU49Y1MORK&keywords=smartwatch&qid=1638030662&qsid=144-6184532-5584651&sprefix=smartwa%2Caps%2C318&sr=8-5&sres=B07W6RWL2R%2CB07TWFVDWT%2CB08FRQ57JG%2CB09D9D6FF7%2CB08DFLG5SP%2CB07W6V2RNK%2CB096BJLZZM%2CB096BKVWZZ%2CB08HMRY8NG%2CB09B2XG2RT%2CB097SSFRTM%2CB082VZZHK4%2CB074KBWL9J%2CB09CKLQP4K%2CB09G62P2LG%2CB0991ZHK6P&srpt=WEARABLE_COMPUTER#customerReviews,Garmin Venu Sq GPS Smartwatch with Bright Touchscreen Display Up to 6 Days of Battery Life Slate Aluminum Bezel with Shadow Gray Case and Silicone Band,72%,14%,6%,4%,4%,3596
https://www.amazon.com/Donerton-Activity-Waterproof-Pedometer-Smartwatch/dp/B09D9D6FF7/ref=sr_1_6?crid=10EYU49Y1MORK&keywords=smartwatch&qid=1638030662&qsid=144-6184532-5584651&sprefix=smartwa%2Caps%2C318&sr=8-6&sres=B07W6RWL2R%2CB07TWFVDWT%2CB08FRQ57JG%2CB09D9D6FF7%2CB08DFLG5SP%2CB07W6V2RNK%2CB096BJLZZM%2CB096BKVWZZ%2CB08HMRY8NG%2CB09B2XG2RT%2CB097SSFRTM%2CB082VZZHK4%2CB074KBWL9J%2CB09CKLQP4K%2CB09G62P2LG%2CB0991ZHK6P&srpt=WEARABLE_COMPUTER#customerReviews,Donerton Smart Watch Fitness Tracker for Android Phones Fitness Tracker with Heart Rate and Sleep Monitor Activity Tracker with IP67 Waterproof Pedometer Smartwatch with Step Counter Blue,57%,17%,10%,5%,11%,9284
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08815492CU57AE8Q1D1A&url=%2FVEESIMI-Smartwatch-Smartphone-Notifications-Waterproof%2Fdp%2FB09FPDLJFC%2Fref%3Dsr_1_7_sspa%3Fcrid%3D10EYU49Y1MORK%26keywords%3Dsmartwatch%26qid%3D1638030662%26sprefix%3Dsmartwa%252Caps%252C318%26sr%3D8-7-spons%26psc%3D1&qualifier=1638030662&id=6341670478922992&widgetName=sp_mtf#customerReviews,VEESIMI Smart Watch Fitness Tracker with 23 Sport Modes Heart Rate Monitor Pedometer Smartwatch with Music Control Smartphone Notifications Sleep Monitor IP68 Waterproof Backup a Sport Loop Band,80%,12%,0%,0%,7%,34
https://www.amazon.com/Fitbit-Advanced-Smartwatch-Management-Temperature/dp/B08DFLG5SP/ref=sr_1_8?crid=10EYU49Y1MORK&keywords=smartwatch&qid=1638030662&qsid=144-6184532-5584651&sprefix=smartwa%2Caps%2C318&sr=8-8&sres=B07W6RWL2R%2CB07TWFVDWT%2CB08FRQ57JG%2CB09D9D6FF7%2CB08DFLG5SP%2CB07W6V2RNK%2CB096BJLZZM%2CB096BKVWZZ%2CB08HMRY8NG%2CB09B2XG2RT%2CB097SSFRTM%2CB082VZZHK4%2CB074KBWL9J%2CB09CKLQP4K%2CB09G62P2LG%2CB0991ZHK6P&srpt=WEARABLE_COMPUTER#customerReviews,Fitbit Sense Advanced Smartwatch with Tools for Heart Health Stress Management & Skin Temperature Trends White/Gold One Size (S & L Bands Included),72%,14%,5%,3%,6%,21898
https://www.amazon.com/Amazfit-Smartwatch-Customizable-Resistance-Activity/dp/B07W6V2RNK/ref=sr_1_9?crid=10EYU49Y1MORK&keywords=smartwatch&qid=1638030662&qsid=144-6184532-5584651&sprefix=smartwa%2Caps%2C318&sr=8-9&sres=B07W6RWL2R%2CB07TWFVDWT%2CB08FRQ57JG%2CB09D9D6FF7%2CB08DFLG5SP%2CB07W6V2RNK%2CB096BJLZZM%2CB096BKVWZZ%2CB08HMRY8NG%2CB09B2XG2RT%2CB097SSFRTM%2CB082VZZHK4%2CB074KBWL9J%2CB09CKLQP4K%2CB09G62P2LG%2CB0991ZHK6P&srpt=WEARABLE_COMPUTER#customerReviews,"Amazfit GTS Fitness Smartwatch with Heart Rate Monitor 14-Day Battery Life Music Control 1.65"" Display Sleep and Swim Tracking GPS Water Resistant Smart Notifications Obsidian Black",61%,19%,9%,5%,7%,7215
