url,name,5,4,3,2,1,total
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01484316Q4EKZEXLTE8&url=%2FAmazon-Essentials-Barry-Sneaker-Black%2Fdp%2FB07W4DYM8P%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dsneakers%26qid%3D1638028632%26sr%3D8-1-spons%26psc%3D1&qualifier=1638028632&id=5473089667684586&widgetName=sp_atf#customerReviews,Amazon Essentials Men's Knit Athletic Sneaker,48%,23%,15%,6%,8%,279
https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0605359198AQEX1IC5FA&url=%2FUMYOGO-Lightweight-Walking-Athletic-Breathable%2Fdp%2FB083HYWRZS%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dsneakers%26qid%3D1638028632%26sr%3D8-2-spons%26psc%3D1&qualifier=1638028632&id=5473089667684586&widgetName=sp_atf#customerReviews,UMYOGO Women's Running Shoes Non Slip Athletic Tennis Walking Blade Type Sneakers,68%,13%,8%,4%,7%,55454
https://www.amazon.com/adidas-Performance-Womens-Cloudfoam-Running/dp/B0711R2TNB/ref=sr_1_3?keywords=sneakers&qid=1638028632&sr=8-3#customerReviews,adidas Women's Cloudfoam Pure Running Shoe,80%,11%,5%,2%,3%,62727
https://www.amazon.com/adidas-Womens-Grand-Court-Black/dp/B07DBLP9NQ/ref=sr_1_4?keywords=sneakers&qid=1638028632&sr=8-4#customerReviews,adidas Women's Grand Court Sneaker,82%,10%,4%,1%,3%,21100
https://www.amazon.com/Skechers-Sport-Womens-Statements-Sneaker/dp/B074BZKNHD/ref=sr_1_5?keywords=sneakers&qid=1638028632&sr=8-5#customerReviews,Skechers Women's Ultra Flex-Statements Trainers,79%,11%,5%,2%,3%,5617
https://www.amazon.com/New-Balance-Nergize-FuelCore-Sneaker/dp/B07C2JXT2G/ref=sr_1_6?keywords=sneakers&qid=1638028632&sr=8-6#customerReviews,New Balance Women's FuelCore Nergize V1 Sneaker,72%,13%,7%,3%,5%,39758
https://www.amazon.com/Reebok-Womens-Sneaker-Steel-White/dp/B07MV5GY3H/ref=sr_1_7?keywords=sneakers&qid=1638028632&sr=8-7#customerReviews,Reebok Women's Club MEMT Sneaker,76%,11%,6%,3%,4%,2112
https://www.amazon.com/Under-Armour-Unisex-School-Sneaker/dp/B07G7T1VKR/ref=sr_1_8?keywords=sneakers&qid=1638028632&sr=8-8#customerReviews,Under Armour Unisex-Child Grade School Assert 8 Sneaker,84%,11%,3%,1%,2%,8630
https://www.amazon.com/Under-Armour-Alternate-Closure-Sneaker/dp/B07G7X9MSZ/ref=sr_1_9?keywords=sneakers&qid=1638028632&sr=8-9#customerReviews,Under Armour Unisex-Child Pre School Assert 8 Alternate Closure Sneaker,84%,10%,3%,1%,2%,8818
https://www.amazon.com/adidas-Grand-Court-Sneaker-Toddler/dp/B07KTFHLL4/ref=sr_1_10?keywords=sneakers&qid=1638028632&sr=8-10#customerReviews,adidas Unisex-Child Grand Court Tennis Shoe,86%,8%,3%,1%,2%,17735
