url,name,excellent,very_good,average,poor,terrible
https://www.tripadvisor.com/Hotel_Review-g186338-d10763222-Reviews-Leman_Locke-London_England.html#REVIEWS,Leman Locke,666,170,51,14,15
https://www.tripadvisor.com/Hotel_Review-g186338-d15134890-Reviews-The_Resident_Covent_Garden-London_England.html#REVIEWS,The Resident Covent Garden,792,41,5,1,1
https://www.tripadvisor.com/Hotel_Review-g186338-d193097-Reviews-The_Tower_Hotel-London_England.html#REVIEWS,The Tower Hotel,4730,3815,1598,660,429
https://www.tripadvisor.com/Hotel_Review-g186338-d2048553-Reviews-Leonardo_Royal_London_Tower_Bridge-London_England.html#REVIEWS,Leonardo Royal London Tower Bridge,1025,279,146,101,85
https://www.tripadvisor.com/Hotel_Review-g186338-d10810215-Reviews-Montcalm_Royal_London_House_City_of_London-London_England.html#REVIEWS,Montcalm Royal London House - City of London,2266,266,75,29,17
https://www.tripadvisor.com/Hotel_Review-g186338-d8625676-Reviews-The_Resident_Victoria-London_England.html#REVIEWS,The Resident Victoria,1798,326,42,15,3
https://www.tripadvisor.com/Hotel_Review-g186338-d193129-Reviews-Danubius_Hotel_Regents_Park-London_England.html#REVIEWS,Danubius Hotel Regents Park,743,716,298,106,61
https://www.tripadvisor.com/Hotel_Review-g186338-d265539-Reviews-St_James_Court_A_Taj_Hotel_London-London_England.html#REVIEWS,St. James Court A Taj Hotel London,3180,1372,441,176,110
https://www.tripadvisor.com/Hotel_Review-g186338-d193143-Reviews-Park_Grand_London_Kensington-London_England.html#REVIEWS,Park Grand London Kensington,3617,1150,210,56,49
https://www.tripadvisor.com/Hotel_Review-g186338-d13126259-Reviews-Vintry_Mercer-London_England.html#REVIEWS,Vintry & Mercer,646,84,16,3,4
https://www.tripadvisor.com/Hotel_Review-g186338-d605356-Reviews-Leonardo_Royal_London_St_Paul_s-London_England.html#REVIEWS,Leonardo Royal London St. Paul's,319,107,57,70,64
https://www.tripadvisor.com/Hotel_Review-g186338-d577593-Reviews-Park_Plaza_London_Riverbank-London_England.html#REVIEWS,Park Plaza London Riverbank,2385,827,381,235,219
https://www.tripadvisor.com/Hotel_Review-g186338-d193104-Reviews-The_Clermont_Charing_Cross-London_England.html#REVIEWS,The Clermont Charing Cross,4845,950,134,43,27
https://www.tripadvisor.com/Hotel_Review-g186338-d4062677-Reviews-The_Resident_Soho-London_England.html#REVIEWS,The Resident Soho,2615,529,79,13,7
https://www.tripadvisor.com/Hotel_Review-g186338-d192097-Reviews-The_Caesar_Hotel-London_England.html#REVIEWS,The Caesar Hotel,1186,1067,363,124,90
https://www.tripadvisor.com/Hotel_Review-g186338-d11621939-Reviews-Novotel_London_Canary_Wharf-London_England.html#REVIEWS,Novotel London Canary Wharf,961,321,119,61,36
https://www.tripadvisor.com/Hotel_Review-g186338-d1719249-Reviews-H10_London_Waterloo-London_England.html#REVIEWS,H10 London Waterloo,2310,1326,297,87,74
https://www.tripadvisor.com/Hotel_Review-g186338-d19619544-Reviews-Tower_Suites_by_Blue_Orchid-London_England.html#REVIEWS,Tower Suites by Blue Orchid,150,33,33,15,22
https://www.tripadvisor.com/Hotel_Review-g186338-d577546-Reviews-The_W14_Kensington-London_England.html#REVIEWS,The W14 Kensington,719,768,205,74,108
https://www.tripadvisor.com/Hotel_Review-g186338-d12437245-Reviews-Dorsett_City_London-London_England.html#REVIEWS,Dorsett City London,401,184,66,44,36
https://www.tripadvisor.com/Hotel_Review-g186338-d192044-Reviews-London_Bridge_Hotel-London_England.html#REVIEWS,London Bridge Hotel,1941,931,182,46,32
https://www.tripadvisor.com/Hotel_Review-g186338-d1600126-Reviews-Rafayel_on_the_Left_Bank-London_England.html#REVIEWS,Rafayel on the Left Bank,1387,550,284,107,129
https://www.tripadvisor.com/Hotel_Review-g186338-d295184-Reviews-The_Belgrave-London_England.html#REVIEWS,The Belgrave,866,702,137,29,19
https://www.tripadvisor.com/Hotel_Review-g186338-d734603-Reviews-Travelodge_London_Central_City_Road-London_England.html#REVIEWS,Travelodge London Central City Road,636,601,299,124,140
https://www.tripadvisor.com/Hotel_Review-g186338-d193138-Reviews-Copthorne_Tara_Hotel_London_Kensington-London_England.html#REVIEWS,Copthorne Tara Hotel London Kensington,1919,3118,2018,747,497
https://www.tripadvisor.com/Hotel_Review-g186338-d3317097-Reviews-EasyHotel_London_City_Shoreditch-London_England.html#REVIEWS,easyHotel London City Shoreditch,79,65,43,22,30
https://www.tripadvisor.com/Hotel_Review-g186338-d193112-Reviews-Strand_Palace-London_England.html#REVIEWS,Strand Palace,96,45,27,16,18
https://www.tripadvisor.com/Hotel_Review-g186338-d289306-Reviews-DoubleTree_by_Hilton_Hotel_London_ExCeL-London_England.html#REVIEWS,DoubleTree by Hilton Hotel London ExCeL,584,491,214,92,73
https://www.tripadvisor.com/Hotel_Review-g186338-d20030227-Reviews-Zedwell_Piccadilly-London_England.html#REVIEWS,Zedwell Piccadilly,91,15,12,10,29
https://www.tripadvisor.com/Hotel_Review-g186338-d5823268-Reviews-Dorsett_Shepherds_Bush_London-London_England.html#REVIEWS,Dorsett Shepherds Bush London,989,780,217,73,66
https://www.tripadvisor.com/Hotel_Review-g186338-d279521-Reviews-Millennium_Copthorne_Hotels_at_Chelsea_Football_Club-London_England.html#REVIEWS,Millennium & Copthorne Hotels at Chelsea Football Club,932,1131,513,208,155
https://www.tripadvisor.com/Hotel_Review-g186338-d17765524-Reviews-Merit_Kensington_Hotel-London_England.html#REVIEWS,Merit Kensington Hotel,21,17,5,1,2
https://www.tripadvisor.com/Hotel_Review-g186338-d193129-Reviews-Danubius_Hotel_Regents_Park-London_England.html#REVIEWS,Danubius Hotel Regents Park,743,716,298,106,61
https://www.tripadvisor.com/Hotel_Review-g186338-d12934662-Reviews-Wilde_Aparthotels_by_Staycity_Covent_Garden-London_England.html#REVIEWS,Wilde Aparthotels by Staycity - Covent Garden,729,167,38,16,9
https://www.tripadvisor.com/Hotel_Review-g186338-d209229-Reviews-The_Bloomsbury-London_England.html#REVIEWS,The Bloomsbury,3360,910,226,53,23
https://www.tripadvisor.com/Hotel_Review-g186338-d6822967-Reviews-The_Hoxton_Holborn-London_England.html#REVIEWS,The Hoxton Holborn,1677,577,136,34,13
https://www.tripadvisor.com/Hotel_Review-g186338-d193053-Reviews-The_Mandeville_Hotel-London_England.html#REVIEWS,The Mandeville Hotel,1380,917,299,92,65
https://www.tripadvisor.com/Hotel_Review-g186338-d193105-Reviews-The_Landmark_London-London_England.html#REVIEWS,The Landmark London,306,21,10,8,10
