url,name,excellent,very_good,average,poor,terrible
https://www.tripadvisor.com/Hotel_Review-g60763-d99288-Reviews-Arthouse_Hotel_New_York_City-New_York_City_New_York.html#REVIEWS,Arthouse Hotel New York City,3806,2299,789,301,219
https://www.tripadvisor.com/Hotel_Review-g60763-d1762573-Reviews-Andaz_5th_Avenue-New_York_City_New_York.html#REVIEWS,Andaz 5th Avenue,2105,639,211,89,54
https://www.tripadvisor.com/Hotel_Review-g60763-d10846086-Reviews-Four_Points_by_Sheraton_Manhattan_Midtown_West-New_York_City_New_York.html#REVIEWS,Four Points by Sheraton Manhattan Midtown West,189,64,23,11,15
https://www.tripadvisor.com/Hotel_Review-g60763-d641209-Reviews-Hilton_Garden_Inn_New_York_Manhattan_Chelsea-New_York_City_New_York.html#REVIEWS,Hilton Garden Inn New York/Manhattan-Chelsea,1079,949,282,99,80
https://www.tripadvisor.com/Hotel_Review-g60763-d224224-Reviews-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York.html#REVIEWS,The Ritz-Carlton New York Central Park,1357,281,117,47,36
https://www.tripadvisor.com/Hotel_Review-g60763-d93614-Reviews-The_St_Regis_New_York-New_York_City_New_York.html#REVIEWS,The St. Regis New York,850,137,67,41,36
https://www.tripadvisor.com/Hotel_Review-g60763-d7352347-Reviews-Hotel_Indigo_Lower_East_Side_New_York_an_IHG_hotel-New_York_City_New_York.html#REVIEWS,Hotel Indigo Lower East Side New York an IHG hotel,771,282,100,49,55
https://www.tripadvisor.com/Hotel_Review-g60763-d2554351-Reviews-Hyatt_Place_New_York_Midtown_South-New_York_City_New_York.html#REVIEWS,Hyatt Place New York / Midtown - South,1442,1035,283,106,97
https://www.tripadvisor.com/Hotel_Review-g60763-d1415127-Reviews-Hotel_Scherman-New_York_City_New_York.html#REVIEWS,Hotel Scherman,1078,243,49,11,19
https://www.tripadvisor.com/Hotel_Review-g60763-d1390172-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Times_Square-New_York_City_New_York.html#REVIEWS,Fairfield Inn & Suites New York Manhattan / Times Square,855,1011,334,101,85
https://www.tripadvisor.com/Hotel_Review-g60763-d80087-Reviews-Best_Western_Plus_Hospitality_House-New_York_City_New_York.html#REVIEWS,Best Western Plus Hospitality House,817,465,81,20,22
