url,name,excellent,very_good,average,poor,terrible
https://www.tripadvisor.com/Hotel_Review-g187791-d205858-Reviews-Villa_Patrizia-Rome_Lazio.html#REVIEWS,Villa Patrizia,55,16,10,8,5
https://www.tripadvisor.com/Hotel_Review-g187791-d205044-Reviews-Hotel_Artemide-Rome_Lazio.html#REVIEWS,Hotel Artemide,7009,1235,155,26,16
https://www.tripadvisor.com/Hotel_Review-g187791-d233405-Reviews-Varese_Hotel-Rome_Lazio.html#REVIEWS,Varese Hotel,156,8,3,0,0
https://www.tripadvisor.com/Hotel_Review-g187791-d17506625-Reviews-NH_Collection_Roma_Fori_Imperiali-Rome_Lazio.html#REVIEWS,NH Collection Roma Fori Imperiali,134,10,3,3,2
https://www.tripadvisor.com/Hotel_Review-g187791-d191099-Reviews-Albergo_del_Senato-Rome_Lazio.html#REVIEWS,Albergo del Senato,3701,543,91,34,14
https://www.tripadvisor.com/Hotel_Review-g187791-d239263-Reviews-Hotel_Santa_Maria-Rome_Lazio.html#REVIEWS,Hotel Santa Maria,2924,590,58,16,12
https://www.tripadvisor.com/Hotel_Review-g187791-d6109074-Reviews-Appartamenti_Marcoaurelio49-Rome_Lazio.html#REVIEWS,Appartamenti Marcoaurelio49,212,74,12,6,3
https://www.tripadvisor.com/Hotel_Review-g187791-d20356374-Reviews-Doubletree_by_Hilton_Rome_Monti-Rome_Lazio.html#REVIEWS,Doubletree by Hilton Rome Monti,69,14,2,0,1
https://www.tripadvisor.com/Hotel_Review-g187791-d7976127-Reviews-A_Roma_Lifestyle_Hotel-Rome_Lazio.html#REVIEWS,A.Roma Lifestyle Hotel,3248,971,175,59,38
https://www.tripadvisor.com/Hotel_Review-g187791-d484603-Reviews-C_hotels_Club_House-Rome_Lazio.html#REVIEWS,c-hotels Club House,122,54,10,3,5
https://www.tripadvisor.com/Hotel_Review-g187791-d12497396-Reviews-Hotel_Damaso-Rome_Lazio.html#REVIEWS,Hotel Damaso,399,66,4,0,3
https://www.tripadvisor.com/Hotel_Review-g187791-d8865999-Reviews-NH_Collection_Roma_Palazzo_Cinquecento-Rome_Lazio.html#REVIEWS,NH Collection Roma Palazzo Cinquecento,888,327,89,22,14
https://www.tripadvisor.com/Hotel_Review-g187791-d12445334-Reviews-Terrace_Pantheon_Relais-Rome_Lazio.html#REVIEWS,Terrace Pantheon Relais,169,45,8,6,6
https://www.tripadvisor.com/Hotel_Review-g187791-d228975-Reviews-Hotel_Savoy_Roma-Rome_Lazio.html#REVIEWS,Hotel Savoy Roma,836,701,268,75,48
https://www.tripadvisor.com/Hotel_Review-g187791-d203172-Reviews-Marcella_Royal_Hotel-Rome_Lazio.html#REVIEWS,Marcella Royal Hotel,1334,797,187,53,26
https://www.tripadvisor.com/Hotel_Review-g187791-d230612-Reviews-Hotel_Colosseum-Rome_Lazio.html#REVIEWS,Hotel Colosseum,820,574,113,13,11
https://www.tripadvisor.com/Hotel_Review-g187791-d229054-Reviews-Hotel_Nazionale-Rome_Lazio.html#REVIEWS,Hotel Nazionale,1508,627,87,25,19
https://www.tripadvisor.com/Hotel_Review-g187791-d236151-Reviews-Hotel_Smeraldo-Rome_Lazio.html#REVIEWS,Hotel Smeraldo,567,609,170,55,34
https://www.tripadvisor.com/Hotel_Review-g187791-d12827390-Reviews-The_Liberty_Boutique_Hotel-Rome_Lazio.html#REVIEWS,The Liberty Boutique Hotel,277,38,7,0,1
https://www.tripadvisor.com/Hotel_Review-g187791-d3964772-Reviews-Rome_Times_Hotel-Rome_Lazio.html#REVIEWS,Rome Times Hotel,1195,636,123,34,26
https://www.tripadvisor.com/Hotel_Review-g187791-d203085-Reviews-Hotel_Napoleon-Rome_Lazio.html#REVIEWS,Hotel Napoleon,1747,1024,233,51,28
